! .
' '
normal JJ
northern JJ
nose NN
not *
nothing PN
noticed VBD
noticed VBN
notified VBN
notion NN
nouns NNS
now RB
nude JJ
nudged VBD
number NN
numenous JJ
nursery NN
nutrient JJ
nymphs NNS
objections NNS
obscure JJ
observant JJ
observation NN
observe VB
obstacle NN
obstruct VB
obvious JJ
obviously RB
obviousness NN
occasion NN
occur VB
occurred VBD
occurred VBN
ocean NN
of IN
of IN-TL
off IN
off RP
offering NN
officer NN
official JJ
often RB
okay JJ
old JJ
old-style NN
older JJR
olive JJ
on IN
on RP
once CS
once RB
one CD
one PN
one-gee JJ
ones NNS
only AP
only RB
open RB
open VB
opened VBD
opening NN
operate VB
operated VBD
oppressive JJ
optimism NN
or CC
oral JJ
orbit NN
order NN
orders NNS
ordinary JJ
organized VBN
organs NNS
original JJ
other AP
other's AP$
others NNS
ought MD
our PP$
ours PP$$
out IN
out RP
outcome NN
output NN
outside IN
outside JJ
outside RB
outsiders NNS
outweigh VB
oval NN
over IN
over RP
overcome VBN
overridden VBN
own JJ
oxygen NN
paced VBD
pacing VBG
page NN
pain NN
painful JJ
pains NNS
pale JJ
pan NN
panel NN
panels NNS
panorama NN
paper NN
pardon VB
pardons NNS
parents NNS
parlor NN
parochial JJ
part NN
partially RB
particle NN
particularly RB
partner NN
partnered VBN
partners NNS
parts NNS
party NN
pass VB
passengers NNS
passing VBG
past IN
past NN
patience NN
patient JJ
patsy NN
pattern NN
patterns NNS
pause NN
paw NN
pay NN
peculiar JJ
peculiarities NNS
penalty NN
pending IN
pentagon NN
people NNS
people VB
peoples NNS
perceive VB
percent NN
perennial JJ
perfect JJ
performance NN
perhaps RB
period NN
periods NNS
permanent JJ
permitted VBN
perplexity NN
person NN
personae NNS
personal JJ
personnel NNS
perspective NN
persuaded VBD
perverse JJ
petty JJ
phenomena NNS
phenomenon NN
philology NN
photographer NN
photographs NNS
photon-counting JJ
photos NNS
phrase NN
physiological JJ
pick NN
picked VBD
picnicked VBD
picture NN
pidgin NN
pieces NNS
pilots' NNS$
pin NN
pink JJ
pinkly RB
pip NN
pituitary NN
pity NN
place NN
places NNS
plain NN
plan NN
planet NN
planetoids NNS
planets NNS
planned VBD
planning VBG
plans NNS
plants NNS
play NN
playing VBG
plays NNS
pleasantly RB
please VB
pleased VBD
pleased VBN
pleasing JJ
pleasure NN
plenty QL
plenty RB
plots NNS
plotting VBG
plugged VBD
plus CC
poet NN
point NN
pointed VBD
poisoned VBD
poisons NNS
politely RB
ponderous JJ
pontifical JJ
pool NN
pores NNS
posed VBD
position NN
possibility NN
possible JJ
posture NN
potential JJ
pounding VBG
pounds NNS
poured VBN
power NN
powerful JJ
powers NNS
practical JJ
practicality NN
practice NN
practicing VBG
pranha NN
precedent NN
precepts NNS
precious JJ
predict VB
predicted VBN
preferences NNS
preliminary JJ
premise NN
preoccupied VBN
preparations NNS
present JJ
pressure NN
pressures NNS
presumed VBD
pretending VBG
prettily RB
pretty JJ
pretty QL
prevented VBN
previous JJ
price-cutting NN
pride NN
primary JJ
principle NN
prisoner NN
privacy NN
private JJ
probably RB
problem NN
proceedings NNS
process NN
processes NNS
proclaimed VBD
producing VBG
production NN
profession NN
professional JJ
professionals NNS
proficiency NN
profound JJ
prognosis NN
program NN
program VB
programed VBN
progressions NNS
prolonged VBN
promised VBD
promoted VBN
promotion NN
promptly RB
pronounced VBN
pronouns NNS
proof NN
proper JJ
properly RB
property NN
proportion NN
proportions NNS
proposal NN
propulsion NN
prospective JJ
protected VBD
protest NN
provision NN
provisional JJ
psychological JJ
psychology NN
public JJ
public NN
published VBD
pull VB
pulsating VBG
punctuation NN
punk NN
puppyish JJ
purpose NN
purposes NNS
purses NNS
put VB
put VBD
puzzle VB
puzzling JJ
qualified VBN
quality NN
quarrel NN
quarters NNS
question NN
questions NNS
quick NN
quickening VBG
quicker RBR
quiet JJ
quiet NN
quietly RB
quite ABL
quite QL
quoted VBN
rabbit NN
race NN
races NNS
radar NN
radiated VBD
radiation NN
radioactive JJ
ragged JJ
raised VBD
rammed VBD
ran VBD
random NN
range NN
ranking VBG
rapidly RB
rather IN
ratify VB
re-examine VB
reaching VBG
reaction NN
reactors NNS
read VB
read VBD
read VBN
reading NN
reading VBG
readings NNS
ready JJ
real JJ
real QL
realized VBD
really QL
really RB
reason NN
reasonably RB
reasoning NN
reasoning VBG
rebuild VB
recall NN
received VBD
received VBN
recently RB
recessed VBN
reclaim VB
recognized VBD
recommend VB
reconstruct VB
recorded VBD
recorded VBN
recordings NNS
records NNS
recriminations NNS
red JJ
reference NN
referring VBG
refused VBD
regard VB
regardless RB
registered VBD
regret NN
regular JJ
regulated VBD
reinstall VB
rejected VBN
relationship NN
relaxing VBG
relief NN
religion NN
remain VB
remained VBD
remarked VBD
remember VB
remembered VBD
remembered VBN
remote JJ
removed VBN
rend VB
renewed VBN
repairs NNS
repeated VBD
repeatedly RB
repel VB
repercussions NNS
repertoire NN
replied VBD
report VB
reported VBD
reported VBN
reports NNS
represent VB
reproducing VBG
reproduction NN
request NN
require VB
required VBD
required VBN
requires VBZ
requisition NN
research NN
resembled VBD
resembling VBG
resettling VBG
resistance NN
resources NNS
respect NN
respect VB
responses NNS
responsible JJ
rest NN
restful JJ
resting VBG
restored VBD
restraints NNS
restricted VBN
restrictions NNS
results NNS
resumed VBD
retaining VBG
retorted VBD
return NN
return VB
reviewed VBD
revive VB
revulsion NN
rewarding JJ
rhythmic JJ
rich JJ
riding VBG
right JJ
right QL
right RB
ring NN
ringed VBN
riot NN
ripple NN
ripples NNS
rise NN
ritual JJ
rivalry NN
road NN
roared VBD
rock NN
rock-steady JJ
rockets NNS
rogue NN
roiling VBG
role NN
rolled VBD
rolling VBG
rookie NN
room NN
rotated VBD
routine NN
rubbed VBD
run VB
run VBN
running NN
running VBG
sad JJ
safest JJT
said VBD
sail NN
salted VBN
same AP
sands NNS
sane JJ
sanest JJT
sank VBD
sat VBD
saved VBN
saw VBD
say VB
saying VBG
scanned VBD
scanners NNS
scarcely RB
scars NNS
scene NN
scheduled VBN
school NN
schooled VBN
scientists NNS
scooted VBD
score NN
scout NN
scouts NNS
scowled VBD
scraped VBN
screams NNS
screens NNS
screw NN
scriptural JJ
sealed VBN
season NN
seating VBG
second NN
second OD
seconds NNS
secrecy NN
secret JJ
secret NN
secretaries NNS
secretly RB
section NN
see VB
seeing VBG
seem VB
seemed VBD
seemingly RB
seems VBZ
seen VBN
seismological JJ
seldom RB
selected VBN
selective JJ
self NN
self-pitying JJ
sell VB
selves NNS
send VB
sense NN
senselessly RB
sensory JJ
sent VBD
sentence NN
sentient JJ
separated VBN
serve VB
served VBN
service NN
serviettes NNS
set NN
set VB
set VBD
setting NN
settled VBN
setup NN
seven CD
seventeen CD
several AP
sex NN
sexes NNS
sexual JJ
shadow NN
shaft NN
shall MD
shape VB
shapely JJ
sharp JJ
sharply RB
she PPS
sheer JJ
sheered VBD
sheet NN
shell NN
shell-psychology NN
shelled VBN
shells NNS
shield VB
shifting VBG
shining VBG
ship NN
ship's NN$
shipboard NN
shipmate NN
shipmates NNS
ships NNS
shock NN
shocks NNS
shockwave NN
shook VBD
short JJ
short-lived JJ
shorten VB
shortly RB
should MD
shoulder NN
shouldered VBD
shoulders NNS
shouldn't MD*
shouted VBD
show NN
show VB
showed VBD
showing VBG
shrugged VBD
side NN
side-effects NNS
sidewise RB
sigh NN
sight NN
sign NN
signaling VBG
signed VBN
silent JJ
similar JJ
simple JJ
simply RB
simultaneously RB
since CS
sing VB
singers NNS
singing VBG
sinuses NNS
sir NN
sit VB
sitting VBG
situation NN
situations NNS
six CD
sixteenth OD
size NN
skies NNS
skiff NN
skiff's NN$
skin NN
sky NN
slack JJ
slave NN
sleep NN
sleep VB
sleepily RB
sleeping VBG
sleeplessly RB
sleepy JJ
slept VBD
slid VBD
slim JJ
slowed VBD
slowing VBG
slowly RB
small JJ
smaller JJR
smell NN
smelling VBG
smiled VBD
smiles NNS
smiling VBG
snack NN
snapping VBG
sneaked VBD
snickered VBD
snobbish JJ
snow NN
so CS
so QL
so RB
social JJ
softly RB
solar JJ
solid JJ
solitude NN
solution NN
some DTI
somebody PN
something PN
sometimes RB
somewhat RB
somewhere RB
song NN
sonic JJ
soon RB
sooner RBR
soprano NN
sorry JJ
sort NN
sound NN
sounded VBD
soundly RB
sounds NNS
source NN
south NR
southeast JJ
southern JJ
space NN
spaces NNS
spaceship NN
spacesuit NN
spacesuits NNS
sparse JJ
spat VBD
speak VB
speaking VBG
special JJ
specialists NNS
species NN
speech NN
speed NN
speeded VBD
spend VB
spent VBD
spent VBN
spiritual JJ
spoke VBD
spoken VBN
spot-promoted VBN
sprawled VBN
spreading VBG
spring NN
spy NN
square NN
square VB
squat NN
squeezed VBD
stab NN
stage NN
stages NNS
staggered VBD
stammered VBD
stand VB
star NN
stare VB
stars NNS
start NN
start VB
started VBD
startled VBN
startling JJ
statement NN
states NNS
static NN
stayed VBD
stealth NN
stepped VBD
stepping VBG
sterility NN
sterilizing VBG
still QL
still RB
stirred VBD
stolen VBN
stone NN
stood VBD
stopped VBD
stored VBN
story NN
straight RB
straighten VB
strange JJ
streaks NNS
stretch NN
stretched VBN
strictly RB
striped VBN
strong JJ
struck VBD
struggled VBD
struggling VBG
student NN
students NNS
studied VBD
study VB
studying VBG
stumbled VBD
stupid JJ
stupor NN
style NN
sub-conscious-level NN
subject NN
submit VB
substitute VB
substituting VBG
succeeded VBN
such ABL
such JJ
sudden JJ
suffice VB
suggested VBD
suit NN
summer NN
sun NN
super-condamine NN
supplies NNS
supported VBD
supposed VBN
supreme JJ
sure JJ
sure RB
surely RB
surface NN
surprise NN
surrounded VBN
surrounding VBG
survey NN
surveyed VBD
surveyor NN
survived VBD
survived VBN
surviving VBG
suspended VBN
suspensor NN
suspicion NN
sustain VB
sustained VBN
swallowed VBD
swami NN
swath NN
swift JJ
swiftly RB
swim VB
switch NN
switch VB
swung VBD
sympathize VB
synapses NNS
syntax NN
system NN
t-tau NN
table NN
take VB
taken VBN
takes VBZ
taking VBG
talk VB
talked VBD
talking VBG
tape NN
tapes NNS
taps NNS
task NN
tasted VBD
taught VBD
taught VBN
teach VB
teachers NNS
teaches VBZ
tear VB
tears NNS
technical JJ
technicians NNS
techniques NNS
telescope NN
tell VB
telling VBG
temperature NN
ten CD
tenor NN
tense NN
tenses NNS
tentative JJ
teratologies NNS
terms NNS
terrestrial JJ
territory NN
test NN
tests NNS
text NN
than CS
than IN
that CS
that DT
that QL
that WPS
that's DT+BEZ
thaw VB
the AT
the AT-TL
their PP$
them PPO
themselves PPLS
then JJ
then RB
there EX
there RB
there's EX+BEZ
therefore RB
therein RB
these DTS
they PPSS
they're PPSS+BER
thicken VB
thigh NN
thin JJ
thing NN
things NNS
think VB
thinking VBG
third OD
this DT
those DTS
though CS
thought VBD
thought VBN
thoughtful JJ
thoughts NNS
thousand CD
thousands NNS
thrashed VBN
threatening VBG
three CD
threes-fulfilled JJ
threshed VBD
threw VBD
thrived VBD
throat NN
through IN
ticket NN
time NN
times NNS
tinkering NN
tiny JJ
tiptoeing VBG
titanium NN
to IN
to TO
toe NN
toe-tips NNS
together RB
told VBD
told VBN
tolerance NN
tone NN
tongue NN
tongues NNS
too QL
too RB
took VBD
tools NNS
top NN
torso NN
torsos NNS
torture NN
total JJ
totality NN
touch NN
touch VB
tour NN
toward IN
towards IN
trace NN
traffic NN
trailing VBG
trained VBN
training NN
trajectory NN
trance NN
transferral NN
transfers NNS
transformation NN
transition NN
translated VBN
transmuted VBN
tray NN
tread VB
treaty NN
trial NN
trick NN
tried VBD
tried VBN
triggered VBN
trip NN
triumphantly RB
trouble NN
troubled VBD
truck NN
true JJ
trust NN
trusting VBG
truth NN
try VB
trying VBG
tuned VBN
turn NN
turn VB
turned VBD
turned VBN
turning VBG
turtle NN
twentieth OD
twentieth-century NN
twenty CD
twisted VBD
twittered VBD
two CD
two-nosed JJ
types NNS
ultimate JJ
unattached JJ
unaware JJ
unclaimed JJ
uncomfortable JJ
unconditionally RB
uncurled VBD
und FW-CC-TL
under IN
understand VB
understanding VBG
understood VBN
underwater JJ
uneasy JJ
unexplained JJ
unfamiliar JJ
unfathomable JJ
unfortunate NN
unfrozen VBN
unfurled VBN
unharmonious JJ
uniform NN
unimportant JJ
unique JJ
unit NN
universe NN
unknown JJ
unless CS
unlikely JJ
unmagnified JJ
unnecessary JJ
unpleased JJ
unprecedented JJ
unrealistically RB
unreassuringly RB
unrecognized JJ
unshelled JJ
unthaw VB
until CS
unusual JJ
unusually QL
up RP
upright NN
upset VBN
urged VBD
us PPO
use NN
use VB
used VBD
used VBN
using VBG
usual JJ
usually RB
vacuum NN
valuable JJ
value-judgments NNS
values NNS
vanished VBN
varied VBD
variety NN
various JJ
vector NN
vegetable NN
veldt NN
velocity NN
verb NN
verbs NNS
verse NN
very AP
very QL
vessel NN
vibrancy NN
victims NNS
violations NNS
violent JJ
virtually RB
virulence NN
vision NN
visit VB
visitors NNS
visual JJ
visualized VBD
vocabulary NN
vocal JJ
voice NN
volunteer VB
vowel NN
voyage NN
vs NP-TL
wailing VBG
waist NN
wait VB
waited VBD
waiting NN
waiting VBG
waking VBG
walk VB
walked VBD
walking VBG
wanderings NNS
want VB
wanted VBD
wanted VBN
wanting VBG
wants VBZ
war NN
ward NN
warily RB
warm JJ
warm-blooded JJ
warmth NN
wart-hog NN
warts NNS
was BEDZ
wasn't BEDZ*
watched VBD
watches NNS
water NN
wave NN
waved VBD
way NN
ways NNS
we PPSS
we'd PPSS+HVD
we'll PPSS+MD
we've PPSS+HV
weakly RB
weakness NN
wear VB
weary JJ
web NN
week NN
weep VB
weighty JJ
well RB
well-oriented JJ
well-read JJ
welling VBG
went VBD
wept VBD
were BED
weren't BED*
western JJ
what WDT
whatever WDT
wheels NNS
when WRB
where WRB
whereas CS
whereby WRB
whether CS
which WDT
whichever WDT
while CS
while NN
whining VBG
whipped VBD
whipping VBG
whisper NN
who WPS
whole JJ
wholly RB
whom WPO
whose WP$
why WRB
wide JJ
wife NN
wildly RB
will MD
will NN
willed VBD
wind NN
window NN
winds NNS
wings NNS
winked VBD
winter NN
wisdom NN
wisecracked VBD
wish VB
wished VBD
wispy JJ
wit NN
with IN
with-but-after IN
within IN
without IN
witness VB
woke VBD
woman NN
women NNS
won't MD*
wonder VB
wondered VBD
wonderful JJ
word NN
words NNS
work NN
work VB
worked VBD
workers NNS
works NNS
works VBZ
world NN
world's NN$
worried VBD
worried VBN
worse JJR
worship NN
worst JJT
worth JJ
worth NN
would MD
wound NN
wrangled VBD
write VB
wrong JJ
wrongly RB
xenophobia NN
year NN
years NNS
yet RB
yoga NN
you PPO
you PPSS
you'll PPSS+MD
you're PPSS+BER
you've PPSS+HV
young JJ
your PP$
yours PP$$
yourself PPL
zigzagging VBG
zone NN
