! .
& CC-TL
arrest NN
arrested VBN
arrests NNS
arrived VBD
arrived VBN
arrogance NN
arrow NN
arrowheads NNS
art NN
artfully RB
articles NNS
artificial JJ
artisan NN
artist NN
artistic JJ
artists NNS
artless JJ
as CS
as IN
as QL
ascending VBG
ascetic NN
ash NN
ashamed JJ
aside RB
ask VB
asked VBD
asked VBN
asking VBG
asks VBZ
asleep RB
aspects NNS
ass NN
assail VB
assembled VBN
assertive JJ
assets NNS
assigned VBN
assignment NN
assimilated VBN
assistance NN
assuaged VBN
assume VB
assumed VBD
assurance NN
assure VB
assured VBD
assures VBZ
astonishing JJ
astronaut NN
astronomy NN
asunder RB
at IN
ate VBD
atheists NNS
atmosphere NN
attached VBN
attacked VBN
attend VB
attended VBN
attending VBG
attention NN
attentive JJ
attic NN
attis FW-NN
attracted VBD
attraction NN
attractive JJ
audience NN
auditorium NN
aunt NN
aunt's NN$
austere JJ
authentic JJ
authenticity NN
authority NN
automatic JJ
automatically RB
automobile NN
available JJ
availing VBG
average JJ
average NN
aversion NN
averted VBD
aviator NN
avoid VB
avoidance NN
avoided VBD
awaited VBD
awake JJ
awake RB
awarded VBN
aware JJ
awareness NN
away RB
awed VBN
awesome JJ
awful JJ
awfully QL
awkward JJ
awoke VBD
azalea NN
azaleas NNS
babes NNS
babies NNS
baby NN
baby's NN$
baby-sitter NN
bachelor NN
bachelor-type JJ
back JJ
back NN
back RB
back VB
backed VBD
background NN
backing NN
backward RB
backyards NNS
bad JJ
bad RB
badgering VBG
badly RB
baffled VBN
bag NN
bag VB
baggy JJ
bagpipe NN
bake VB
baked VBN
balanced VBD
ball NN
ballet NN
balloon NN
ballplayer NN
ballplayers NNS
balls NNS
band NN
bandages NNS
bandits NNS
bands NNS
bandstand NN
banged VBD
bangs NNS
banister NN
banisters NNS
banked VBN
banker NN
bankruptcy NN
banners NNS
bannnnnng UH
banshees NNS
bar NN
bar'l NN
barber NN
bare JJ
bare-armed JJ
barefoot RB
barely RB
bargain NN
barge NN
baritone NN
bark NN
barn NN
base NN
baseball NN
based VBN
basement NN
bases NNS
basis NN
basket NN
basketball NN
basking VBG
bass NN
bastard NN
bastards NNS
bat NN
bat VB
bath NN
bathing VBG
bathrobe NN
bathroom NN
bathrooms NNS
bats NNS
batter's NN$
batting VBG
battle NN
battle-ax NN
bay NN
bazaar NN
be BE
beach NN
beaches NNS
beans NNS
bear NN
bear VB
beard NN
bearded VBN
beards NNS
bearing NN
bearing VBG
beast NN
beat NN
beat VB
beat VBD
beaten VBN
beauties NNS
beautiful JJ
beautifully RB
beautifully-tapered JJ
beauty NN
became VBD
because CS
because RB
become VB
become VBN
becoming VBG
bed NN
bedroom NN
bedroom's NN$
beds NNS
bedside NN
bedspread NN
bedstraw NN
bedtime NN
been BEN
beer NN
bees NNS
before CS
before IN
before RB
beforehand RB
beg VB
began VBD
begged VBD
begging VBG
begin VB
beginning VBG
begotten VBN
begun VBN
behave VB
behaved VBD
behind IN
behind RB
being BEG
being NN
belied VBD
belief NN
believe VB
believed VBD
bell NN
bellicosity NN
belligerence NN
bellowed VBD
bells NNS
belly NN
bellyfull NN
belong VB
belonged VBD
beloved JJ
below IN
below RB
belt NN
bench NN
benches NNS
bend VB
bends VBZ
beneath IN
benefit NN
bent VBD
bent VBN
beriberi NN
berry NN
beseech VB
beset VBN
beside IN
besides IN
besides RB
best JJT
best RBT
bested VBN
bestowed VBD
bet NN
bet VB
better JJR
better RBR
better VB
between IN
beyond IN
bib NN
bibles NNS
bicarbonate NN
big JJ
big-boned JJ
big-town NN
bigger JJR
biggest JJT
bikinis NNS
bill NN
bills NNS
bind NN
binge NN
biography NN
birch NN
bird NN
birds NNS
birth NN
birthday NN
biscuits NNS
bit NN
bite VB
bites NNS
bitten VBN
bitter JJ
bitterly QL
bitterly RB
biwa FW-NN
bizarre JJ
black JJ
black-and-yellow JJ
black-balled VBN
blackjack NN
blackness NN
blackout NN
blacksmith NN
blades NNS
blame VB
blanche JJ
blankets NNS
blasts NNS
blazer NN
blazing VBG
bleached VBN
bleak JJ
bleeding VBG
blend NN
blended VBD
bless VB
blessed VBN
blessing NN
blessing VBG
blew VBD
blind JJ
blind NN
blinds NNS
blinking VBG
bliss NN
blissful JJ
blister VB
bloated VBN
block NN
block VB
blocks NNS
blond JJ
blonde JJ
blonde NN
blonde's NN$
blondes NNS
blood NN
blood-soaked JJ
bloodshed NN
bloodspots NNS
bloom NN
bloomed VBD
blooms NNS
blossom NN
blossoms NNS
blot NN
blow NN
blow VB
blows NNS
bludgeon VB
blue JJ
blue NN
bluntly RB
blush VB
blushed VBD
blushing VBG
board NN
board VB
boarded VBN
boarding VBG
boarding-home NN
boards NNS
boast NN
boast VB
boat NN
boating VBG
boatswain NN
bobbed VBD
bobbing VBG
bodies NNS
body NN
bogey NN
boil NN
boiled VBN
boiling VBG
bold JJ
bolo NN
bolt NN
bone NN
bone-deep JJ
bones NNS
book NN
book-lined JJ
bookish JJ
books NNS
bookshelves NNS
boots NNS
booze NN
bordering VBG
borders NNS
bore VBD
bored VBD
boredom NN
born VBN
borne VBN
bosoms NNS
boss NN
both ABX
bother VB
bothered VBN
bothersome JJ
bottle NN
bottles NNS
bottom NN
bottoms NNS
bought VBD
bought VBN
bounce VB
bounced VBN
bound VBN
bouquet NN
bouts NNS
bow NN
bowed VBD
bowing NN
bowing VBG
bowl NN
box NN
boxcar NN
boxcars NNS
boxed-in JJ
boy NN
boy UH
boy's NN$
boy-furiendo NN
boy-name NN
boys NNS
brace NN
braced VBN
brain NN
brains NNS
bran NN
branch NN
branches NNS
brand NN
branded VBN
brandishing VBG
brass NN
brassiere NN
brave JJ
braver JJR
braving VBG
bread NN
break NN
break VB
breakfast NN
breakfasted VBD
breaking VBG
breaks VBZ
breast NN
breasts NNS
breath NN
breathed VBD
breathing VBG
breathless JJ
breathtaking JJ
breeze NN
bribe VB
brick NN
bride NN
brides NNS
bridesmaids NNS
bridge NN
brief JJ
brief NN
briefly RB
brig NN
bright JJ
bright-eyed JJ
brightened VBD
brighter JJR
brightest JJT
brightly RB
brilliant JJ
brim NN
bring VB
bringing VBG
brings VBZ
brink NN
bristling VBG
broach VB
broad JJ
broadcast VBN
broader JJR
broke JJ
broke VBD
broken VBN
bronze NN
brother NN
brother's NN$
brother-in-law NN
brothers NNS
brought VBD
brought VBN
brow NN
brown JJ
browny JJ
browny-haired JJ
brows NNS
bruising VBG
brunettes NNS
brush VB
brushed VBD
brushed VBN
brushes NNS
brushing VBG
brushlike JJ
brutal JJ
brutality NN
brutally RB
brute NN
bubble NN
bubbling VBG
bubbly JJ
bucket NN
buckets NNS
bucking VBG
bucking-up NN
buckles NNS
bud NN
buds NNS
buffeted VBN
buggy NN
bugs NNS
build VB
building NN
building VBG
buildings NNS
built VBD
built VBN
bulb NN
bulky JJ
bullet NN
bulletins NNS
bullhide NN
bum NN
bumped VBD
bumps NNS
bumptious JJ
bums NNS
bun NN
bunch NN
bundle NN
burden NN
bureau NN
burial NN
buried VBN
burly JJ
burn VB
burned VBD
burned VBN
burning VBG
burst NN
burst VB
burst VBD
burst VBN
bursting VBG
buses NNS
bush NN
bushes NNS
business NN
busy JJ
but CC
but IN
buttocks NNS
buttons NNS
buy VB
buying VBG
buzzing VBG
by IN
by RB
by-ways NNS
cabaret NN
cabin NN
cabins NNS
cacophony NN
cafe NN
caged VBN
calculated VBN
calculators NNS
call NN
call VB
called VBD
called VBN
callers NNS
calling VBG
calm JJ
calm VB
calmness NN
came VBD
cameos NNS
camera NN
cameras NNS
camp NN
campaign NN
can MD
can't MD*
cancer NN
candidate NN
candle NN
cane NN
cane's NN+BEZ
cannot MD*
canoe NN
canvases NNS
canvassing NN
capable JJ
capacity NN
caper NN
capital NN
capsule NN
captain NN
captain's NN$
capturing VBG
car NN
car's NN$
caravans NNS
card NN
cardinal NN
cardinals NNS
cards NNS
care NN
care VB
cared VBD
cared VBN
career NN
careful JJ
carefully RB
careless JJ
caressed VBD
caressed VBN
caresses NNS
caressing VBG
caring VBG
carpentry NN
carpet NN
carried VBD
carried VBN
carriers NNS
carry VB
carrying VBG
cars NNS
carte NN
carved VBN
carver NN
case NN
cases NNS
cash NN
cashmere NN
cast VBD
casual JJ
casually RB
cat NN
catalogues NNS
catastrophe NN
catch VB
catchee VB
catcher NN
catcher's NN$
cats NNS
cattle NNS
caught VBD
caught VBN
caused VBD
caution NN
cautious JJ
cavalry NN
cave NN
cavern NN
caves NNS
ceased VBD
ceiling NN
cemetery NN
censure NN
cent NN
center NN
centralization NN
century NN
ceramics NN
ceremony NN
certain FW-JJ
certain JJ
certainly RB
certainty NN
certificate NN
chain NN
chair NN
chairs NNS
challenge NN
challenged VBD
champagne NN
chance NN
chances NNS
change NN
change VB
changed VBD
changed VBN
changes NNS
changing VBG
chanted VBD
chanted VBN
chants NNS
chapel-like JJ
chaplain NN
chapter NN
character NN
chariot NN
charity NN
charlotte NN
charm NN
charming JJ
chart NN
chassis NN
chat VB
chatter NN
chattering VBG
cheap JJ
cheaply RB
check NN
check VB
checks NNS
checks VBZ
cheekbones NNS
cheeks NNS
cheerful JJ
cheerfully RB
cheese NN
cheesecloth NN
chemistries NNS
chemistry NN
cherries NNS
chess NN
chest NN
chic JJ
chicken NN
chickens NNS
chide VB
chief NN
child NN
child's NN$
child-cloud NN
childhood NN
childishness NN
childlike JJ
children NNS
chill NN
chillier JJR
chilling VBG
chilly JJ
chin NN
china NN
chins NNS
chip NN
chips NNS
chloride NN
choice NN
choke VB
choking VBG
choose VB
choppy JJ
chores NNS
chose VBD
chosen VBN
chromed VBN
chuck-a-luck NN
chuckle NN
chuckled VBD
chump NN
church NN
churches NNS
cigarette NN
cigars NNS
cinch NN
circle NN
circles NNS
circumspect JJ
circumstance NN
circumstances NNS
cities NNS
city NN
city's NN$
civic JJ
civilian NN
claimed VBN
clam NN
clamped VBD
clapping NN
claret JJ
clarity NN
clash NN
clasped VBD
clasping VBG
class NN
classes NNS
classic NN
classroom NN
clattered VBD
clattering VBG
clattery JJ
clawing VBG
claws NNS
clay NN
clean JJ
clean VB
cleaned VBN
cleaner NN
cleansing VBG
clear JJ
clear VB
clearing VBG
clearly RB
clenched VBN
clerk NN
clever JJ
clicked VBD
cliff NN
cliffs NNS
climate NN
climb VB
climbed VBD
climbing VBG
cling VB
clinging VBG
clock NN
clods NNS
close JJ
close RB
close VB
closed VBD
closed VBN
closely RB
closer RBR
closet NN
closeted VBN
closets NNS
cloth NN
clothes NNS
clothing NN
cloud NN
clouded VBN
clouds NNS
club NN
clubs NNS
clucked VBD
clumsy JJ
clung VBD
clusters NNS
clutch NN
clutch VB
clutched VBD
clutches NNS
clutching VBG
co-operate VB
coachwork NN
coal NN
coarse JJ
coat NN
coaxed VBN
cobblestones NNS
cockroaches NNS
cocktail NN
cod NN
coffee NN
coffeepot NN
coffers NNS
coffin NN
cognac NN
coin NN
coincidental JJ
coins NNS
cold JJ
cold NN
cold-bloodedly RB
colder JJR
coldly RB
collapsed VBD
collar NN
collect VB
collection NN
college NN
colleges NNS
collie NN
colloquy NN
color NN
colored VBN
coloring NN
colors NNS
colt NN
column NN
combat NN
combed VBD
combination NN
combo NN
come VB
come VBN
comes VBZ
comfort NN
comfortable JJ
comfortably RB
comforting VBG
comic NN
comin' NN
coming VBG
command NN
commanded VBN
commander NN
commencement NN
commending VBG
comment NN
commercial JJ
commissary NN
commission NN
commissions NNS
committed VBD
committed VBN
common JJ
common NN
commotion NN
communicate VB
communicating VBG
community NN
companies NNS
companion NN
companionship NN
company NN
compartment NN
compete VB
competency NN
competing VBG
competition NN
complain VB
complained VBD
complaisant JJ
complete JJ
completely RB
complexion NN
complicated VBN
complied VBD
comply VB
composure NN
compound NN
compound-engine NN
conceived VBN
concentrated VBD
concentration NN
conceptions NNS
concern NN
concerning IN
concerns NNS
concerns VBZ
concert NN
concluded VBD
conclusion NN
conclusions NNS
conclusively RB
concrete NN
condemned VBN
condition NN
conditions NNS
confess VB
confessed VBD
confession NN
confidence NN
confidentially RB
confines NNS
confirm VB
confirmation NN
confirmed VBN
conflict NN
conform VB
conformists NNS
confront VB
confused VBN
confusion NN
congenial JJ
congested VBN
congregation NN
connect VB
connection NN
connections NNS
connivance NN
conquer VB
conscience NN
conscious JJ
consciousness NN
consecutive JJ
consequences NNS
consequently RB
considerate JJ
considered VBD
considered VBN
considering IN
considering VBG
consisted VBD
consorting VBG
conspiracy NN
constant JJ
constructed VBN
consultation NN
consulted VBD
consumed VBD
consumed VBN
consumer NN
contacts NNS
contain VB
contemplated VBN
contemplation NN
contemporary NN
contempt NN
contemptuous JJ
contented VBN
contentment NN
contest NN
contests NNS
continent NN
continue VB
continued VBD
continuing VBG
contorted VBN
contours NNS
contracted VBN
contracts NNS
contrary NN
contribute VB
contributed VBN
contributing VBG
control NN
controlling VBG
convention NN
conversation NN
conversations NNS
conversion NN
conviction NN
convictions NNS
convinced VBD
convinced VBN
convivial JJ
cook NN
cool JJ
cooling VBG
coolly RB
coolness NN
cops NNS
cord NN
cordial JJ
cords NNS
core NN
cork NN
corkscrew NN
corn NN
corner NN
corners NNS
corporate JJ
corporation NN
correct JJ
corridor NN
corridors NNS
corruption NN
cosmetics NNS
cost NN
cost VB
costume NN
cottage NN
cottages NNS
cotton NN
cough NN
cough VB
could MD
could've MD+HV
couldn't MD*
counsel NN
counselor NN
count VB
countenance NN
counter NN
countless JJ
countries NNS
country NN
countrymen NNS
couple NN
courage NN
courageous JJ
course NN
coursing VBG
court NN
courteous JJ
courtesy NN
courts NNS
courtyard NN
courtyards NNS
cousin NN
cousins' NNS$
cover NN
covered VBD
covered VBN
covering VBG
coverlet NN
covers NNS
coveted VBN
cowbirds NNS
cowbirds' NNS$
cowboy NN
coy JJ
crack VB
cracked VBD
crackers NNS
cracking VBG
crackling NN
cracks NNS
cracks VBZ
craft NN
craftsmanship NN
crammed VBN
cramp NN
crap NN
crash NN
crash VB
crates NNS
crawl VB
crawled VBD
crazed VBN
crazy JJ
creaked VBD
creaking VBG
cream NN
created VBD
creating VBG
creature NN
credentials NNS
credit NN
creek NN
creep VB
cremate VB
crept VBD
crest NN
crestfallen JJ
crew NN
cribs NNS
crickets NNS
cried VBD
cried VBN
crime NN
crinkles NNS
crises NNS
crisis NN
crisp JJ
crisp NN
criticisms NNS
crocked VBN
crook NN
cropped VBN
cross VB
crossed VBD
crossed VBN
crossing VBG
crossroading VBG
crossroads NNS
crouched VBD
crowd NN
crowded VBD
crowded VBN
crown NN
crude JJ
cruel JJ
cruelty NN
cruising VBG
crumble VB
crumbled VBN
crumbling VBG
crushed VBN
cry NN
cry VB
crying VBG
crystals NNS
cubes NNS
cudgels NNS
cultivated VBN
cunning JJ
cunningly RB
cup NN
cupped VBD
cups NNS
curb NN
cure VB
curettage NN
curing VBG
curiosity NN
curious JJ
curiously RB
curl VB
curled VBD
curled VBN
curls NNS
curly JJ
currently RB
cursed VBD
curses NNS
curtain NN
curtains NNS
curtly RB
curve NN
curving VBG
customary JJ
customers NNS
cut VB
cut VBD
cute JJ
cutest JJT
cynicism NN
cypress NN
d'Eiffel FW-IN+NP-TL
d'un FW-IN+AT
dad NN
daddy NN
daily JJ
dainty JJ
daisies NNS
dam' JJ
damn JJ
damn NN
damn UH
damned VBN
damp JJ
dampening VBG
dance NN
dance VB
danced VBD
dancing VBG
dang JJ
danger NN
dangerous JJ
dangerously RB
dangers NNS
dare VB
dared VBD
dared VBN
daring VBG
dark JJ
dark NN
dark-blue JJ
dark-gray JJ
darkened VBD
darkness NN
darling JJ
darling NN
darn VB
darned VBN
darted VBD
date NN
daughter NN
davenport NN
dawn NN
dawn VB
dawning VBG
dawns VBZ
day NN
day's NN$
daydreamed VBD
daydreaming NN
days NNS
dazzled VBN
de FW-IN-TL
dead JJ
dead NN
deadly JJ
deal NN
dealers NNS
dealerships NNS
dear JJ
death NN
debate NN
debauchery NN
debs NNS
debt NN
decency NN
decent JJ
deception NN
deceptive JJ
decide VB
decided VBD
decided VBN
decidedly RB
deciding VBG
decision NN
deck NN
decked VBN
decorated VBN
decorations NNS
dedicated VBD
dedicated VBN
deep JJ
deep RB
deep-set JJ
deeper JJR
deeper RBR
deeply RB
defeated VBN
defeatism NN
defects NNS
defend VB
defending VBG
defense NN
defensive JJ
defiance NN
deficit NN
defined VBD
definite JJ
degree NN
delayed VBN
deliberately RB
delicate JJ
delicately RB
delight NN
delighted VBN
delighting VBG
delights NNS
delineaments NNS
deliver VB
deliverance NN
delivered VBD
delivered VBN
delivers VBZ
delivery NN
demon NN
demons NNS
den NN
denied VBN
dense JJ
dentist NN
deny VB
denying VBG
department NN
departments NNS
depend VB
depending VBG
depends VBZ
depicted VBD
deposited VBN
depressingly RB
depression NN
depressions NNS
deprived VBD
depths NNS
derriere NN
dervishes NNS
descend VB
describe VB
described VBD
description NN
deserted VBN
deserve VB
deserved VBD
desire NN
desired VBD
desiring VBG
desk NN
despair NN
desperate JJ
desperately RB
desperation NN
despondent JJ
dessert NN
destination NN
detached VBN
detachment NN
details NNS
detained VBD
determination NN
determined VBD
determined VBN
develop VB
developed VBD
developed VBN
devices NNS
devil NN
devote VB
devoted VBN
devoting VBG
devotion NN
dew NN
dewdrops NNS
di FW-IN-TL
diagnosis NN
diamond NN
diamonds NNS
diapers NNS
diapiace FW-VBZ
dice NNS
dice VB
did DOD
didn't DOD*
die VB
died VBD
died VBN
dies NNS
diet NN
difference NN
different JJ
difficult JJ
difficulties NNS
difficulty NN
dig VB
digesting VBG
dignified VBN
dignity NN
dilapidated VBN
dilatation NN
dilemma NN
dim JJ
dime NN
dimensions NNS
dimly RB
dingy JJ
dining VBG
dinner NN
dinners NNS
dinnertime NN
dipped VBD
direct JJ
direction NN
directly RB
director NN
directors NNS
dirt NN
dirty JJ
disappear VB
disappearance NN
disappeared VBD
disappeared VBN
disappointed VBN
disappointing JJ
disappointment NN
disaster NN
disasters NNS
disbelieving VBG
discarded VBD
discipline NN
disciplined VBD
discolored VBN
discontent NN
discouraging JJ
discover VB
discovered VBD
discovered VBN
discovery NN
discreet JJ
discreetly RB
discriminatory JJ
discuss VB
discussed VBD
discussed VBN
disdain NN
disdainful JJ
disdaining VBG
disease NN
disfigured VBD
disfigured VBN
disguised VBD
disgusting JJ
dishes NNS
disheveled VBN
disliked VBD
dismay NN
dismissed VBD
disobeyed VBN
disordered VBN
dispensed VBN
display NN
displeasure NN
disposal NN
disposition NN
dispossessed VBN
disquiet NN
disquietude NN
disregarded VBD
disregarding VBG
dissatisfied VBN
distance NN
distaste NN
distraction NN
distressed VBN
distrust NN
distrusted VBN
disturbed VBN
dive NN
dive VB
dived VBD
divided VBD
divided VBN
division NN
divorcee NN
dizziness NN
dizzy JJ
do DO
dock NN
doctor NN
doctor's NN$
doctor's NN+BEZ
doctors NNS
document NN
dodging VBG
does DOZ
doesn't DOZ*
dog NN
dog's NN$
dogmatic JJ
dogs NNS
doing NN
doing VBG
doll NN
dollar NN
dollars NNS
dollies NNS
dolls NNS
don't DO*
donated VBN
done VBN
doom NN
door NN
doorbell NN
doors NNS
doorway NN
doting VBG
dotted VBN
double JJ
double-breasted JJ
double-married JJ
doubt NN
doubt VB
doubtfully RB
doubtless RB
doubts NNS
down IN
down RP
downcast JJ
downed VBD
downright QL
downstairs RB
downtown NR
downward RB
dozed VBD
dozed VBN
dozen NN
dozing VBG
drab JJ
drab-haired JJ
draft NN
drag VB
dragged VBD
dragged VBN
dragging VBG
dragon NN
dragooned VBD
drained VBD
drained VBN
draining VBG
drama NN
drank VBD
drastic JJ
draughts NNS
draw VB
drawer NN
drawers NNS
drawing VBG
drawings NNS
drawn VBN
drawn-back JJ
dread NN
dream NN
dream VB
dreamed VBD
dreamed VBN
dreaming VBG
dreams NNS
dreamy JJ
dregs NNS
dress NN
dress VB
dressed VBD
dressed VBN
dresses NNS
dressing VBG
drew VBD
dried VBD
dried-up JJ
drifted VBN
drink NN
drink VB
drinkers NNS
drinking VBG
drinks VBZ
dripped VBD
drive NN
drive VB
driven VBN
drives VBZ
driveway NN
driving VBG
drop VB
dropped VBD
dropping VBG
drought NN
droughts NNS
drove VBD
drowning VBG
drowsily RB
drowsing VBG
drumming VBG
drums NNS
drunk JJ
drunk NN
drunker JJR
dry JJ
dryin' VBG
drying VBG
dryly RB
dubious JJ
duck NN
duck VB
duds NNS
due JJ
due NN
due RB
dug VBN
dugout NN
dull JJ
dully RB
dumb JJ
dump VB
dumped VBN
dune NN
during IN
dusk NN
dust NN
dusted VBN
dusty JJ
duty NN
dwelt VBD
dyed VBN
dying VBG
each DT
eager JJ
eagerly RB
eagle NN
ear NN
earlier JJR
earlier RBR
early JJ
early RB
earnest JJ
ears NNS
earth NN
earthy JJ
ease VB
easel NN
easier JJR
easier RBR
easily RB
eastern JJ
easy JJ
easy RB
easygoing JJ
eat VB
eatables NNS
eaten VBN
eating NN
eating VBG
echo NN
echoed VBD
economy NN
ecstatic JJ
edge NN
edged VBD
edges NNS
editor NN
effect NN
effeminate JJ
effete JJ
efficient JJ
effort NN
eggs NNS
egotist NN
egotist's NN$
eight CD
eight-by-ten CD
eight-thirty CD
eighteen CD
eighteen-year-old NN
eighth OD
either CC
either RB
ejaculated VBD
elaborate JJ
elastic JJ
elated VBN
elbow NN
elder NN
elderly JJ
elders NNS
eldest JJT
elected VBN
electric JJ
electronics NN
elegant JJ
element NN
elements NNS
elephant NN
elevated VBN
elevator NN
eleven CD
ellipsis NN
eloquent JJ
else RB
embarrassed VBN
embarrassment NN
embodiment NN
embrace NN
embrace VB
emerald NN
emerge VB
emerged VBD
emergencies NNS
emergency NN
eminence NN
emotion NN
emotional JJ
emotionally RB
emotions NNS
emphasizing VBG
employment NN
emptied VBD
empty JJ
emulate VB
enameling VBG
enamelled VBN
enchanted VBN
enchanting JJ
enchantment NN
encircled VBN
enclosed VBN
encounter VB
encountered VBN
encourage VB
encouragement NN
encouraging JJ
encouragingly RB
encrusted VBN
encyclopedia NN
encylopedia NN
end NN
end VB
ended VBD
endless JJ
endlessly RB
endowed VBN
enduring VBG
enemies NNS
energy NN
engaged VBD
engagement NN
engine NN
engineer NN
enjoy VB
enjoyed VBD
enjoyed VBN
enjoying VBG
enlargement NN
enormous JJ
enormously QL
enormously RB
enough AP
enough QLP
enroll VB
enrolled VBN
enrolling VBG
entail VB
enter VB
entered VBD
entering VBG
entertain VB
enthusiasm NN
enthusiastic JJ
entire JJ
entirely QL
entirely RB
entitled VBN
entity NN
entrance NN
entry NN
entwined VBN
envelope NN
envenomed VBN
envied VBD
envisioned VBD
envy NN
envy VB
episode NN
equal JJ
equal NN
equation NN
equipment NN
equivalent JJ
erect JJ
errand NN
erudite JJ
escape VB
especially RB
establishment NN
estate NN
estimate NN
estranged VBD
et FW-CC-TL
eternal JJ
ethyl NN
evasive JJ
even QL
even RB
even VB
evening NN
evenings NNS
events NNS
eventual JJ
eventually RB
ever QL
ever RB
ever' AT
ever'body PN
ever-present JJ
everlasting JJ
every AT
everybody PN
everyone PN
everything PN
everything's PN+BEZ
everywhere RB
evicted VBN
evidence NN
evident JJ
evil JJ
evil NN
exactly RB
exalted VBN
examination NN
examined VBD
examining VBG
example NN
exasperation NN
excellent JJ
excellently RB
except IN
exceptionally QL
excess JJ
exchange NN
excited VBN
excitedly RB
excitement NN
exciting JJ
exclaimed VBD
exclaiming VBG
exclamation NN
exclusive JJ
excursion NN
excuse NN
excuse VB
excused VBD
excuses NNS
executive NN
exemptions NNS
exercise NN
exercise VB
exhausted VBN
exhaustingly RB
exhibit VB
exhibition NN
exist VB
existence NN
exit NN
expanding VBG
expanse NN
expansiveness NN
expect VB
expectancy NN
expectantly RB
expected VBD
expected VBN
expenditure NN
expenses NNS
expensive JJ
experience NN
experienced VBD
experienced VBN
experimentally RB
expert JJ
expertly RB
explain VB
explained VBD
explained VBN
explaining VBG
explanation NN
explanations NNS
exposed VBN
exposure NN
expressing VBG
expression NN
expressionism NN
expressive JJ
exquisitely RB
extra JJ
extraordinary JJ
extravagant JJ
extreme JJ
eye NN
eyeballs NNS
eyebrow NN
eyeglasses NNS
eyeing VBG
eyelashes NNS
eyelid NN
eyelids NNS
eyes NNS
eying VBG
f'r IN
fabric NN
facade NN
face NN
face VB
faced VBD
faces NNS
facilities NNS
facing VBG
fact NN
factor NN
factories NNS
factors NNS
factory NN
facts NNS
faculty NN
faded VBN
fail VB
failed VBD
failed VBN
failure NN
faim FW-NN
faintly RB
fair JJ
faith NN
faiths NNS
fall NN
fall VB
fallen VBN
falling VBG
falls NNS
falls VBZ
faltered VBD
fame NN
familial JJ
familiar JJ
familiarity NN
family NN
family's NN$
famous JJ
fanaticism NN
fancy JJ
fans NNS
fantastic JJ
far JJ
far QL
far RB
farewell NN
farm NN
farmer NN
farms NNS
faro NN
farther RBR
fascinate VB
fascinated VBD
fascinated VBN
fascination NN
fashion NN
fashionable JJ
fast JJ
fast RB
fast-frozen JJ
fastest JJT
fat JJ
fatal JJ
father NN
father's NN$
fatigue NN
fatter JJR
fault NN
favor NN
favored VBD
favored VBN
favorite JJ
favors NNS
fawn-colored JJ
fear NN
fear VB
feared VBD
fearful JJ
fearing VBG
fearless JJ
fears NNS
feasting VBG
feathered VBN
feathers NNS
feathery JJ
feature VB
featured VBD
features NNS
fed VBD
fed VBN
federal JJ
feeble JJ
feed VB
feeding VBG
feel NN
feel VB
feelers NNS
feeling NN
feeling VBG
feels VBZ
feet NNS
fell VB
fell VBD
fellow NN
fellowship NN
felt VBD
felt VBN
female NN
feminine JJ
femme FW-NN
fence NN
fences NNS
fermenting VBG
ferocious JJ
ferocity NN
ferreted VBD
festival NN
fetch VB
fetching VBG
fetes NNS
few AP
field NN
fielder NN
fielder's NN$
fielding VBG
fieldmice NNS
fields NNS
fierce JJ
fiercely RB
fierceness NN
fifteen CD
fifteenth-century NN
fifth OD
fifty CD
fifty-fifty JJ
fig NN
fight NN
fight VB
fighters NNS
fighting NN
fighting VBG
figure NN
figure VB
figured VBD
figures NNS
filched VBD
file NN
fill VB
filled VBD
filled VBN
filter NN
filth NN
filthy JJ
final JJ
finally RB
finance NN
financing NN
financing VBG
find NN
find VB
finding VBG
finds VBZ
fine JJ
fine NN
fine VB
finely-spun JJ
finer JJR
finest JJT
finger NN
fingered VBD
fingers NNS
finish VB
finished VBD
finished VBN
finishing VBG
fire NN
fire-colored JJ
fired VBD
fired VBN
fireplace NN
fireplaces NNS
firing VBG
firm JJ
firm NN
firmly RB
firms NNS
first OD
first RB
fish NN
fisherman NN
fishing-boat NN
fishpond NN
fist NN
fit NN
fit VB
fit VBD
fit VBN
fitting VBG
five CD
five-days-a-week JJ
five-hundred-dollar JJ
five-seventeen CD
fixed VBD
fixed VBN
fixing VBG
flag NN
flageolet NN
flair NN
flakes NNS
flame NN
flame VB
flames NNS
flannel NN
flash NN
flashed VBN
flat JJ
flat RB
flat-footed JJ
flatly RB
flattened VBN
flatter VB
flaxen JJ
fleas NNS
fled VBD
fleeing VBG
fleet JJ
flesh NN
fleshy JJ
flew VBD
flicked VBD
flight NN
flippant JJ
flipping VBG
float VB
flog VB
floodlit VBN
floor NN
floorshow NN
flop NN
flower NN
flower's NN$
flower-scented JJ
flowered VBN
flowerpot NN
flowers NNS
flowing VBG
flown VBN
flu NN
fluff NN
flurry NN
flush NN
flushed VBN
fluttering VBG
fly NN
fly-boy NN
fly-dotted JJ
flyaway JJ
flying NN
flying VBG
foal NN
foals NNS
focus VB
focused VBD
fog NN
foggy JJ
foil VB
fold NN
fold VB
folded VBD
folded VBN
folklore NN
folks NNS
folks' NNS$
follow VB
followed VBD
followed VBN
followers NNS
following VBG
follows VBZ
folly NN
fond JJ
fonder JJR
fontanel NN
food NN
foods NNS
fool NN
