Thirty-three CD-HL
officer NN
came VBD
opposite IN
him PPO
, ,
he PPS
rose VBD
up RP
behind IN
the AT
wall NN
and CC
fired VBD
. .
One CD
moment NN
there EX
was BEDZ
a AT
man NN
in IN
the AT
saddle NN
; .
; .
the AT
next AP
a AT
headless JJ
horror NN
on IN
a AT
horse NN
that WPS
bolted VBD
through IN
the AT
redcoat NN
ranks NNS
, ,
and CC
during IN
the AT
next AP
second NN
or CC
two CD
, ,
we PPSS
all ABN
of IN
us PPO
fired VBD
into IN
the AT
suddenly RB
disorganized VBN
column NN
of IN
soldiers NNS
. .
One CD
moment NN
, ,
the AT
road NN
was BEDZ
filled VBN
with IN
disciplined VBN
troops NNS
, ,
marching VBG
four CD
by IN
four CD
with IN
a AT
purpose NN
as QL
implacable JJ
as CS
death NN
; .
; .
the AT
next AP
, ,
a AT
cloud NN
of IN
gun NN
smoke NN
covered VBD
a AT
screaming VBG
fury NN
of IN
sound NN
, ,
out RP
of IN
which WDT
the AT
redcoat NN
soldiers NNS
emerged VBD
with IN
their PP$
bayonets NNS
and CC
their PP$
cursing VBG
fury NN
. .
In IN
the AT
course NN
of IN
this DT
, ,
they PPSS
had HVD
fired VBN
on IN
us PPO
; .
; .
but CC
I PPSS
have HV
no AT
memory NN
of IN
that DT
. .
I PPSS
had HVD
squeezed VBN
the AT
trigger NN
of IN
my PP$
own JJ
gun NN
, ,
and CC
to IN
my PP$
amazement NN
, ,
it PPS
had HVD
fired VBN
and CC
kicked VBN
back RB
into IN
my PP$
shoulder NN
with IN
the AT
force NN
of IN
an AT
angry JJ
mule NN
; .
; .
and CC
then RB
I PPSS
was BEDZ
adding VBG
my PP$
own JJ
voice NN
to IN
the AT
crescendo NN
of IN
sound NN
, ,
hurling VBG
more QL
vile JJ
language NN
than CS
I PPSS
ever RB
thought VBD
I PPSS
knew VBD
, ,
sobbing VBG
and CC
shouting VBG
, ,
and CC
aware JJ
that CS
if CS
I PPSS
had HVD
passed VBN
water NN
before RB
, ,
it PPS
was BEDZ
not *
enough AP
, ,
for CS
my PP$
pants NNS
were BED
soaking QL
wet JJ
. .
I PPSS
would MD
have HV
stood VBN
there RB
and CC
died VBN
there RB
if CS
left VBN
to IN
myself PPL
, ,
but CC
Cousin NN-TL
Simmons NP
grabbed VBD
my PP$
arm NN
in IN
his PP$
viselike JJ
grip NN
and CC
fairly RB
plucked VBD
me PPO
out RP
of IN
there RB
; .
; .
and CC
then RB
I PPSS
came VBD
to IN
some DTI
sanity NN
and CC
plunged VBD
away RB
with IN
such JJ
extraordinary JJ
speed NN
that CS
I PPSS
outdistanced VBD
Cousin NN-TL
Simmons NP
by IN
far RB
. .
Everyone PN
else RB
was BEDZ
running VBG
. .
Later RBR
we PPSS
realized VBD
that CS
the AT
redcoats NNS
had HVD
stopped VBN
their PP$
charge NN
at IN
the AT
wall NN
. .
Their PP$
only AP
hope NN
of IN
survival NN
was BEDZ
to TO
hold VB
to IN
the AT
road NN
and CC
keep VB
marching VBG
. .
We PPSS
tumbled VBD
to IN
a AT
stop NN
in IN
Deacon NN-TL
Gordon's NP$
cow NN
hole NN
, ,
a AT
low-lying JJ
bit NN
of IN
pasture NN
with IN
a AT
muddy JJ
pool NN
of IN
water NN
in IN
its PP$
middle NN
. .
A AT
dozen NN
cows NNS
mooed VBD
sadly RB
and CC
regarded VBD
us PPO
as CS
if CS
we PPSS
were BED
insane JJ
, ,
as CS
perhaps RB
we PPSS
were BED
at IN
that DT
moment NN
, ,
with IN
the AT
crazy JJ
excitement NN
of IN
our PP$
first OD
encounter NN
, ,
the AT
yelling NN
and CC
shooting NN
still RB
continuing VBG
up RP
at IN
the AT
road NN
, ,
and CC
the AT
thirst NN
of IN
some DTI
of IN
the AT
men NNS
, ,
which WDT
was BEDZ
so QL
great JJ
that CS
they PPSS
waded VBD
into IN
the AT
muddy JJ
water NN
and CC
scooped VBD
up RP
handfuls NNS
of IN
it PPO
. .
Isaac NP
Pitt NP
, ,
one CD
of IN
the AT
men NNS
from IN
Lincoln NP
, ,
had HVD
taken VBN
a AT
musket NN
ball NN
in IN
his PP$
belly NN
; .
; .
and CC
though CS
he PPS
had HVD
found VBN
the AT
strength NN
to TO
run VB
with IN
us PPO
, ,
now RB
he PPS
collapsed VBD
and CC
lay VBD
on IN
the AT
ground NN
, ,
dying VBG
, ,
the AT
Reverend NP
holding VBG
his PP$
head NN
and CC
wiping VBG
his PP$
hot JJ
brow NN
. .
It PPS
may MD
appear VB
that CS
we PPSS
were BED
cruel JJ
and CC
callous JJ
, ,
but CC
no AT
one PN
had HVD
time NN
to TO
spend VB
sympathizing VBG
with IN
poor JJ
Isaac NP
-- --
except IN
the AT
Reverend NP
. .
I PPSS
know VB
that CS
I PPSS
myself PPL
felt VBD
that CS
it PPS
was BEDZ
a AT
mortal JJ
shame NN
for CS
a AT
man NN
to TO
be BE
torn VBN
open JJ
by IN
a AT
British JJ
musket NN
ball NN
, ,
as CS
Isaac NP
had HVD
been BEN
, ,
yet CC
I PPSS
also RB
felt VBD
relieved VBN
and CC
lucky JJ
that CS
it PPS
had HVD
been BEN
him PPO
and CC
not *
myself PPL
. .
I PPSS
was BEDZ
drunk JJ
with IN
excitement NN
and CC
the AT
smell NN
of IN
gunpowder NN
that WPS
came VBD
floating VBG
down RP
from IN
the AT
road NN
, ,
and CC
the AT
fact NN
that CS
I PPSS
was BEDZ
not *
afraid JJ
now RB
, ,
but CC
only RB
waiting VBG
to TO
know VB
what WDT
to TO
do DO
next RB
. .
Meanwhile RB
, ,
I PPSS
reloaded VBD
my PP$
gun NN
, ,
as CS
the AT
other AP
men NNS
were BED
doing VBG
. .
We PPSS
were BED
less AP
than CS
a AT
quarter NN
of IN
a AT
mile NN
from IN
the AT
road NN
, ,
and CC
we PPSS
could MD
trace VB
its PP$
shape NN
from IN
the AT
ribbon NN
of IN
powder NN
smoke NN
and CC
dust NN
that WPS
hung VBD
over IN
it PPO
. .
Wherever WRB
you PPSS
looked VBD
, ,
you PPSS
saw VBD
Committeemen NNS-TL
running VBG
across IN
the AT
meadows NNS
, ,
some DTI
away RB
from IN
the AT
road NN
, ,
some DTI
toward IN
it PPO
, ,
some DTI
parallel RB
to IN
it PPO
; .
; .
and CC
about RB
a AT
mile NN
to IN
the AT
west NR
a AT
cluster NN
of IN
at IN
least AP
fifty CD
Militia NNS-TL
were BED
making VBG
their PP$
way NN
in IN
our PP$
direction NN
. .
Cousin NN-TL
Joshua NP
and CC
some DTI
others NNS
felt VBD
that CS
we PPSS
should MD
march VB
toward IN
Lexington NP
and CC
take VB
up RP
new JJ
positions NNS
ahead RB
of IN
the AT
slow-moving JJ
British JJ
column NN
, ,
but CC
another DT
group NN
maintained VBD
that CS
we PPSS
should MD
stick VB
to IN
this DT
spot NN
and CC
this DT
section NN
of IN
road NN
. .
I PPSS
didn't DOD*
offer VB
any DTI
advice NN
, ,
but CC
I PPSS
certainly RB
did DOD
not *
want VB
to TO
go VB
back RB
to IN
where WRB
the AT
officer NN
lay VBD
with IN
his PP$
brains NNS
dashed VBN
out RP
. .
Someone PN
said VBD
that CS
while CS
we PPSS
were BED
standing VBG
here RB
and CC
arguing VBG
about IN
it PPO
, ,
the AT
British NPS
would MD
be BE
gone VBN
; .
; .
but CC
Cousin NN-TL
Simmons NP
said VBD
he PPS
had HVD
watched VBN
them PPO
marching VBG
west NR
early RB
in IN
the AT
morning NN
, ,
and CC
moving VBG
at IN
a AT
much QL
brisker JJR
pace NN
it PPS
had HVD
still RB
taken VBN
half ABN
an AT
hour NN
for IN
their PP$
column NN
to TO
pass VB
, ,
what WDT
with IN
the AT
narrowness NN
of IN
the AT
road NN
and CC
their PP$
baggage NN
and CC
ammunition NN
carts NNS
. .
While CS
this DT
was BEDZ
being BEG
discussed VBN
, ,
we PPSS
saw VBD
the AT
militia NN
to IN
the AT
west NR
of IN
us PPO
fanning VBG
out RP
and CC
breaking VBG
into IN
little JJ
clusters NNS
of IN
two CD
and CC
three CD
men NNS
as CS
they PPSS
approached VBD
the AT
road NN
. .
It PPS
was BEDZ
the AT
opinion NN
of IN
some DTI
of IN
us PPO
that CS
these DTS
must MD
be BE
part NN
of IN
the AT
Committeemen NNS-TL
who WPS
had HVD
been BEN
in IN
the AT
Battle NN-TL
of IN-TL
the AT-TL
North JJ-TL
Bridge NN-TL
, ,
which WDT
entitled VBD
them PPO
to IN
a AT
sort NN
of IN
veteran NN
status NN
, ,
and CC
we PPSS
felt VBD
that CS
if CS
they PPSS
employed VBD
this DT
tactic NN
, ,
it PPS
was BEDZ
likely JJ
enough QLP
the AT
best JJT
one CD
. .
Mattathias NP
Dover NP
said VBD
: :
`` ``
It PPS
makes VBZ
sense NN
. .
If CS
we PPSS
cluster VB
together RB
, ,
the AT
redcoats NNS
can MD
make VB
an AT
advantage NN
out RP
of IN
it PPO
, ,
but CC
there's EX+BEZ
not *
a AT
blessed VBN
thing NN
they PPSS
can MD
do DO
with IN
two CD
or CC
three CD
of IN
us PPO
except IN
chase VB
us PPO
, ,
and CC
we PPSS
can MD
outrun VB
them PPO
'' ''
. .
That DT
settled VBD
it PPO
, ,
and CC
we PPSS
broke VBD
into IN
parties NNS
of IN
two CD
and CC
three CD
. .
Cousin NN-TL
Joshua NP
Dover NP
decided VBD
to TO
remain VB
with IN
the AT
Reverend NP
and CC
poor JJ
Isaac NP
Pitt NP
until CS
life NN
passed VBD
away RB
-- --
and CC
he PPS
was BEDZ
hurt VBN
so QL
badly RB
he PPS
did DOD
not *
seem VB
for IN
long RB
in IN
this DT
world NN
. .
I PPSS
went VBD
off RP
with IN
Cousin NN-TL
Simmons NP
, ,
who WPS
maintained VBD
that CS
if CS
he PPS
didn't DOD*
see VB
to IN
me PPO
, ,
he PPS
didn't DOD*
know VB
who WPS
would MD
. .
`` ``
Good JJ
heavens NNS
, ,
Adam NP
'' ''
, ,
he PPS
said VBD
, ,
`` ``
I PPSS
thought VBD
one CD
thing NN
you'd PPSS+MD
have HV
no AT
trouble NN
learning VBG
is BEZ
when WRB
to TO
get VB
out RP
of IN
a AT
place NN
'' ''
. .
`` ``
I PPSS
learned VBD
that DT
now RB
'' ''
, ,
I PPSS
said VBD
. .
We PPSS
ran VBD
east NR
for IN
about RB
half ABN
a AT
mile NN
before CS
we PPSS
turned VBD
back RB
to IN
the AT
road NN
, ,
panting VBG
from IN
the AT
effort NN
and CC
soaked VBN
with IN
sweat NN
. .
There EX
was BEDZ
a AT
clump NN
of IN
trees NNS
that WPS
appeared VBD
to TO
provide VB
cover NN
right QL
up RP
to IN
the AT
road NN
, ,
and CC
the AT
shouting NN
and CC
gunfire NN
never RB
slackened VBD
. .
Under IN
the AT
trees NNS
, ,
there EX
was BEDZ
a AT
dead JJ
redcoat NN
, ,
a AT
young JJ
boy NN
with IN
a AT
pasty JJ
white JJ
skin NN
and CC
a AT
face NN
full JJ
of IN
pimples NNS
, ,
who WPS
had HVD
taken VBN
a AT
rifle NN
ball NN
directly RB
between IN
the AT
eyes NNS
. .
Three CD
men NNS
were BED
around IN
him PPO
. .
They PPSS
had HVD
stripped VBN
him PPO
of IN
his PP$
musket NN
and CC
equipment NN
, ,
and CC
now RB
they PPSS
were BED
pulling VBG
his PP$
boots NNS
and CC
jacket NN
off RP
. .
Cousin NN-TL
Simmons NP
grabbed VBD
one CD
of IN
them PPO
by IN
the AT
shoulder NN
and CC
flung VBD
him PPO
away RB
. .
`` ``
God's NP$
name NN
, ,
what WDT
are BER
you PPSS
to TO
rob VB
the AT
dead JJ
with IN
the AT
fight NN
going VBG
on RP
'' ''
! .
! .
Cousin NN-TL
Simmons NP
roared VBD
. .
They PPSS
tried VBD
to TO
outface VB
him PPO
, ,
but CC
Joseph NP
Simmons NP
was BEDZ
as QL
wide JJ
as CS
two CD
average JJ
men NNS
, ,
and CC
it PPS
would MD
have HV
taken VBN
braver JJR
men NNS
than CS
these DTS
were BED
to TO
outface VB
him PPO
. .
That DT
summer NN
the AT
gambling VBG
houses NNS
were BED
closed VBN
, ,
despite IN
the AT
threats NNS
of IN
Pierre NP
Ameaux NP
, ,
a AT
gaming-card NN
manufacturer NN
. .
Dancing VBG
was BEDZ
no QL
longer RBR
permitted VBN
in IN
the AT
streets NNS
. .
The AT
Bordel NP
and CC
other AP
places NNS
of IN
prostitution NN
were BED
emptied VBN
. .
The AT
slit VBN
breeches NNS
had HVD
to TO
go VB
. .
Drunkenness NN
was BEDZ
no QL
longer RBR
tolerated VBN
. .
In IN
defiance NN
, ,
a AT
chinless JJ
reprobate NN
, ,
Jake NP
Camaret NP
, ,
marched VBD
down IN
the AT
aisle NN
in IN
St. NN-TL
Peter's NP$-TL
one CD
Sunday NR
morning NN
, ,
followed VBN
by IN
one CD
of IN
the AT
women NNS
from IN
the AT
Bordel NP
, ,
whose WP$
dress NN
and CC
walk NN
plainly RB
showed VBD
the AT
lack NN
of IN
any DTI
shame NN
. .
Plunking VBG
themselves PPLS
down RP
on IN
the AT
front NN
bench NN
, ,
they PPSS
turned VBD
to TO
smirk VB
at IN
those DTS
around IN
them PPO
. .
John's NP$
first OD
impulse NN
was BEDZ
to TO
denounce VB
their PP$
blasphemy NN
. .
But CC
the AT
thought NN
occurred VBD
that CS
God NP
would MD
want VB
this DT
opportunity NN
used VBN
to TO
tell VB
them PPO
about IN
Him PPO
. .
Calmly RB
he PPS
opened VBD
the AT
Bible NP
and CC
read VBD
of IN
the AT
woman NN
at IN
the AT
well NN
. .
He PPS
finished VBD
the AT
worship NN
service NN
as CS
if CS
there EX
had HVD
been BEN
no AT
brazen JJ
attempt NN
to IN
dishonor NN
God NP
and CC
man NN
. .
The AT
next AP
morning NN
, ,
as CS
the AT
clock NN
struck VBD
nine CD
, ,
he PPS
appeared VBD
at IN
the AT
Council NN-TL
meeting NN
in IN
the AT
Town NN-TL
Hall NN-TL
and CC
insisted VBD
that CS
the AT
couple NN
would MD
have HV
to TO
be BE
punished VBN
if CS
the AT
Church NN-TL
was BEDZ
to TO
be BE
respected VBN
. .
`` ``
I PPSS
have HV
told VBN
you PPO
before RB
, ,
and CC
I PPSS
tell VB
you PPO
again RB
'' ''
, ,
Monsieur NP
Favre NP
said VBD
rudely RB
. .
`` ``
Stick VB
to IN
the AT
preaching NN
of IN
the AT
Gospel NP
'' ''
! .
! .
John NP
stiffened VBD
in IN
anger NN
. .
`` ``
That DT
is BEZ
the AT
answer NN
the AT
ungodly JJ
will MD
always RB
make VB
when WRB
the AT
Church NN-TL
points VBZ
its PP$
fingers NNS
at IN
their PP$
sins NNS
. .
I PPSS
say VB
to IN
you PPO
that CS
the AT
Church NN-TL
will MD
ever RB
decry VB
evil NN
'' ''
! .
! .
John's NP$
reply NN
was BEDZ
like CS
a AT
declaration NN
of IN
war NN
. .
Monsieur NP
Favre NP
sat VBD
down RP
in IN
his PP$
high-backed JJ
stall NN
, ,
lips NNS
compressed VBN
, ,
eyes NNS
glinting VBG
. .
Ablard NP
Corne NP
, ,
a AT
short JJ
man NN
with IN
a AT
rotunda NN
of IN
stomach NN
, ,
rose VBD
. .
Every AT
eye NN
was BEDZ
on IN
him PPO
as CS
he PPS
began VBD
to TO
speak VB
. .
`` ``
What WDT
Master NN-TL
Calvin NP
says VBZ
is BEZ
true JJ
. .
How WRB
can MD
we PPSS
have HV
a AT
good JJ
city NN
unless CS
we PPSS
respect VB
morality NN
'' ''
? .
? .
Abel NP
Poupin NP
, ,
a AT
tall JJ
man NN
with IN
sunken JJ
cheeks NNS
and CC
deep-set JJ
eyes NNS
, ,
got VBD
to IN
his PP$
feet NNS
. .
`` ``
We PPSS
all ABN
know VB
that CS
Jake NP
Camaret NP
and CC
the AT
woman NN
are BER
brazenly RB
living VBG
together RB
. .
It PPS
would MD
be BE
well JJ
to TO
show VB
the AT
populace NN
how WRB
we PPSS
deal VB
with IN
adulterers NNS
'' ''
. .
Philibert NP
Berthelier NP
, ,
the AT
son NN
of IN
the AT
famous JJ
patriot NN
, ,
disagreed VBD
. .
`` ``
Do DO
not *
listen VB
to IN
that DT
Frenchman NP
. .
He PPS
is BEZ
throttling VBG
the AT
liberty NN
my PP$
father NN
gave VBD
his PP$
life NN
to TO
win VB
'' ''
! .
! .
John NP
was BEDZ
quietly RB
insistent JJ
. .
`` ``
There EX
can MD
be BE
no AT
compromise NN
when WRB
souls NNS
are BER
in IN
jeopardy NN
'' ''
. .
A AT
week NN
later RBR
the AT
sentence NN
of IN
the AT
Council NN-TL
was BEDZ
carried VBN
out RP
: :
Jake NP
Camaret NP
and CC
the AT
woman NN
were BED
marched VBN
naked JJ
through IN
the AT
streets NNS
past IN
a AT
mocking VBG
populace NN
. .
Before IN
them PPO
stalked VBD
the AT
beadle NN
, ,
proclaiming VBG
as CS
he PPS
went VBD
, ,
`` ``
Thus RB
the AT
Council NN-TL
deals VBZ
with IN
those DTS
who WPS
break VB
its PP$
laws NNS
-- --
adulterers NNS
, ,
thieves NNS
, ,
murderers NNS
, ,
and CC
lewd JJ
persons NNS
. .
Let VB
evildoers NNS
contemplate VB
their PP$
ways NNS
, ,
and CC
let VB
every AT
man NN
beware VB
'' ''
! .
! .
John's NP$
thoughts NNS
raced VBD
painfully RB
into IN
the AT
past NN
as CS
he PPS
read VBD
the AT
letter NN
he PPS
had HVD
just RB
received VBN
from IN
his PP$
sister NN
Mary NP
. .
Charles NP
had HVD
died VBN
two CD
weeks NNS
before RB
, ,
in IN
early JJ
November NP
, ,
without IN
being BEG
reconciled VBN
to IN
the AT
Church NN-TL
. .
The AT
canons NNS
, ,
in IN
a AT
body NN
, ,
had HVD
tried VBN
to TO
force VB
him PPO
on IN
his PP$
deathbed NN
to TO
let VB
them PPO
give VB
him PPO
the AT
last AP
rites NNS
of IN
the AT
Church NN-TL
, ,
but CC
he PPS
had HVD
died VBN
still RB
proclaiming VBG
salvation NN
by IN
faith NN
. .
Burial NN
had HVD
taken VBN
place NN
at IN
night NN
in IN
the AT
ground NN
at IN
the AT
public JJ
crossroads NNS
under IN
the AT
gibbet NN
, ,
so CS
that CS
his PP$
enemies NNS
could MD
not *
find VB
his PP$
body NN
and CC
have HV
it PPO
dug VBN
up RP
and CC
burned VBN
. .
The AT
Abbot NN-TL
of IN-TL
St. NN-TL
Eloi NP-TL
, ,
Claude NP
De NP
Mommor NP
, ,
had HVD
been BEN
a AT
good JJ
friend NN
, ,
but CC
not *
even RB
he PPS
thought VBD
Charles NP
deserved VBD
burial NN
in IN
hallowed VBN
ground NN
. .
John NP
closed VBD
his PP$
eyes NNS
and CC
saw VBD
once RB
again RB
the AT
little JJ
niche NN
in IN
his PP$
mother's NN$
bedroom NN
, ,
where WRB
she PPS
had HVD
knelt VBN
to TO
tell VB
the AT
good JJ
Virgin NN-TL
of IN
her PP$
needs NNS
. .
The AT
blue-draped JJ
Virgin NN-TL
was BEDZ
still RB
there RB
, ,
but CC
no AT
one PN
knelt VBD
before IN
her PPO
now RB
. .
Not *
even RB
Varnessa NP
; .
; .
she PPS
, ,
too RB
, ,
prayed VBD
only RB
to IN
God NP
. .
For IN
an AT
instant NN
John NP
longed VBD
for IN
the AT
sound NN
of IN
the AT
bells NNS
of IN
Noyon-la-Sainte NP
, ,
the AT
touch NN
of IN
his PP$
mother's NN$
hand NN
, ,
the AT
lilt NN
of IN
Charles's NP$
voice NN
in IN
the AT
square JJ
raftered JJ
rooms NNS
, ,
his PP$
father's NN$
bass JJ
tones NNS
rumbling VBG
to IN
the AT
canons NNS
, ,
and CC
the AT
sight NN
of IN
the AT
beloved JJ
bishop NN
. .
But CC
he PPS
had HVD
to TO
follow VB
the AT
light NN
. .
Unless CS
God NP
expected VBD
a AT
man NN
to TO
believe VB
the AT
Holy JJ-TL
Scriptures NNS-TL
, ,
why WRB
had HVD
He PPS
given VBN
them PPO
to IN
him PPO
? .
? .
The AT
white-clad JJ
trees NNS
stood VBD
like CS
specters NNS
in IN
the AT
February NP
night NN
. .
Snow NN
buried VBD
the AT
streets NNS
and CC
covered VBD
the AT
slanting VBG
rooftops NNS
, ,
as CS
John NP
trudged VBD
toward IN
St. NN-TL
Peter's NP$-TL
. .
A AT
carriage NN
crunched VBD
by RB
, ,
its PP$
dim JJ
lights NNS
filtering VBG
through IN
the AT
gloom NN
. .
The AT
sharp JJ
wind NN
slapped VBD
at IN
him PPO
and CC
his PP$
feet NNS
felt VBD
like CS
ice NN
as CS
the AT
snow NN
penetrated VBD
the AT
holes NNS
of IN
his PP$
shoes NNS
, ,
his PP$
only AP
ones NNS
, ,
now RB
patched VBN
with IN
folded VBN
parchment NN
. .
The AT
city NN
had HVD
recently RB
given VBN
him PPO
a AT
small JJ
salary NN
, ,
but CC
it PPS
was BEDZ
not *
enough AP
to TO
supply VB
even RB
necessities NNS
. .
As CS
he PPS
neared VBD
the AT
square NN
, ,
a AT
round JJ
figure NN
muffled VBN
in IN
a AT
long JJ
, ,
black JJ
cape NN
whisked VBD
by RB
. .
John NP
recognized VBD
Ablard NP
Corne NP
and CC
called VBD
out RP
a AT
greeting NN
. .
How WQL
grateful JJ
he PPS
was BEDZ
to IN
such JJ
men NNS
! .
! .
There EX
were BED
several AP
on IN
the AT
Council NN-TL
who WPS
tried VBD
to TO
live VB
like CS
Christians NPS
. .
Despite IN
their PP$
efforts NNS
, ,
the AT
problems NNS
seemed VBD
to TO
grow VB
graver JJR
all ABN
the AT
time NN
. .
Quickening VBG
his PP$
steps NNS
, ,
John NP
entered VBD
the AT
vast JJ
church NN
and CC
climbed VBD
the AT
tower NN
steps NNS
to IN
the AT
bells NNS
. .
Underneath IN
the AT
big JJ
one CD
, ,
in IN
the AT
silent JJ
moonlight NN
, ,
lay VBD
a AT
dead JJ
pigeon NN
, ,
and CC
on IN
the AT
smaller JJR
bell NN
, ,
the AT
Clemence NP
, ,
two CD
gray JJ
and CC
white JJ
birds NNS
slept VBD
huddled VBN
together RB
in IN
the AT
cold JJ
winter NN
air NN
. .
John NP
leaned VBD
upon IN
the AT
stone NN
balustrade NN
. .
He PPS
brushed VBD
back RB
his PP$
black JJ
hair NN
, ,
shoving VBG
it PPO
under IN
his PP$
pastor's NN$
cap NN
to TO
keep VB
it PPO
from IN
blowing VBG
in IN
his PP$
eyes NNS
. .
Below IN
the AT
moon-splashed JJ
world NN
rolled VBD
away RB
to IN
insurmountable JJ
white JJ
peaks NNS
; .
; .
above IN
him PPO
the AT
deep JJ
blue JJ
sky NN
glittered VBD
with IN
stars NNS
. .
He PPS
stood VBD
very QL
still RB
, ,
his PP$
arms NNS
at IN
his PP$
sides NNS
, ,
staring VBG
up RP
at IN
the AT
heavens NNS
, ,
then RB
down RP
at IN
the AT
blinking VBG
lights NNS
below RB
. .
`` ``
How WQL
long RB
, ,
my PP$
Lord NN-TL
? .
? .
How WQL
long RB
? .
? .
I PPSS
have HV
never RB
asked VBN
for IN
an AT
easy JJ
task NN
, ,
but CC
I PPSS
am BEM
weary JJ
of IN
the AT
strife NN
'' ''
. .
Sleep NN
was BEDZ
difficult JJ
these DTS
days NNS
. .
Indigestion NN
plagued VBD
him PPO
. .
Severe JJ
headaches NNS
were BED
frequent JJ
. .
Loneliness NN
tore VBD
through IN
him PPO
like CS
a AT
physical JJ
pain NN
whenever WRB
he PPS
thought VBD
of IN
Peter NP
Robert NP
, ,
Nerien NP
, ,
Nicholas NP
Cop NN-TL
, ,
Martin NP
Bucer NP
, ,
and CC
even RB
the AT
compromising VBG
Louis NP
Du NP
Tillet NP
. .
An AT
occasional JJ
traveler NN
from IN
Italy NP
brought VBD
news NN
of IN
Peter NP
Robert NP
, ,
who WPS
was BEDZ
now RB
distributing VBG
his PP$
Bible NP
among IN
the AT
Waldensian JJ
peasants NNS
. .
Letters NNS
came VBD
regularly RB
from IN
Nerien NP
, ,
Nicholas NP
, ,
and CC
Martin NP
. .
He PPS
had HVD
Anthony NP
and CC
William NP
to TO
confide VB
in IN
and CC
consult VB
. .
But CC
William NP
continued VBD
to TO
find VB
a AT
bitter JJ
joy NN
in IN
smashing VBG
images NNS
and CC
tearing VBG
down RP
symbols NNS
sacred JJ
to IN
the AT
Old JJ-TL
Church NN-TL
. .
John NP
found VBD
it PPO
difficult JJ
, ,
but CC
he PPS
held VBD
him PPO
in IN
check NN
. .
And CC
Anthony NP
was BEDZ
busy JJ
most AP
of IN
the AT
time NN
courting VBG
this DT
girl NN
and CC
that DT
. .
His PP$
easy JJ
good JJ
looks NNS
made VBD
him PPO
a AT
favorite NN
with IN
the AT
ladies NNS
. .
Geneva NP
, ,
instead RB
of IN
becoming VBG
the AT
City NN-TL
of IN-TL
God NP-TL
, ,
as CS
John NP
had HVD
dreamed VBN
, ,
had HVD
in IN
the AT
two CD
years NNS
since CS
he PPS
had HVD
been BEN
there RB
, ,
continued VBN
to TO
be BE
a AT
godless JJ
place NN
where WRB
all ABN
manner NN
of IN
vice NN
flourished VBD
. .
Refugees NNS
poured VBD
in RP
, ,
signing VBG
the AT
Confession NN-TL
and CC
rules NNS
in IN
order NN
to TO
remain VB
, ,
and CC
then RB
disregarding VBG
them PPO
. .
Dice NNS
rolled VBD
, ,
prostitutes NNS
plied VBD
their PP$
trade NN
, ,
thieves NNS
stole VBD
, ,
murderers NNS
stabbed VBD
, ,
and CC
the AT
ungodly JJ
blasphemed VBD
. .
Catholics NPS
who WPS
were BED
truly RB
Christians NPS
longed VBD
for IN
the AT
simple JJ
penance NN
of IN
days NNS
gone VBN
by RB
. .
Libertines NNS
recalled VBD
the AT
heroism NN
of IN
the AT
past NN
and CC
demanded VBD
: :
`` ``
Are BER
we PPSS
going VBG
to TO
allow VB
the AT
Protestant JJ-TL
Pope NN-TL
, ,
Master NN-TL
Calvin NP
, ,
to TO
curtail VB
our PP$
liberty NN
? .
? .
Why WRB
, ,
oh UH
why WRB
, ,
doesn't DOZ*
he PPS
stick VB
to IN
preaching VBG
the AT
Gospel NP
, ,
instead RB
of IN
meddling VBG
in IN
civic JJ
affairs NNS
, ,
politics NN
, ,
economics NN
, ,
and CC
social JJ
issues NNS
that WPS
are BER
no AT
concern NN
of IN
the AT
Church NN-TL
'' ''
? .
? .
And CC
John's NP$
reply NN
was BEDZ
always RB
the AT
same AP
: :
`` ``
Anything PN
that WPS
affects VBZ
souls NNS
is BEZ
the AT
concern NN
of IN
the AT
Church NN-TL
! .
! .
We PPSS
will MD
have HV
righteousness NN
'' ''
! .
! .
Tears NNS
burned VBD
behind IN
his PP$
eyes NNS
as CS
he PPS
prayed VBD
and CC
meditated VBD
tonight NR
. .
Unless CS
the AT
confusion NN
cleared VBD
, ,
he PPS
would MD
not *
be BE
coming VBG
here RB
much QL
longer RBR
. .
Monsieur NP
Favre's NP$
threat NN
would MD
become VB
a AT
reality NN
, ,
for CS
he PPS
continued VBD
to TO
proclaim VB
loudly RB
that CS
the AT
city NN
must MD
rid VB
itself PPL
of IN
`` ``
that DT
Frenchman NP
'' ''
. .
The AT
slow JJ
tapping NN
of IN
a AT
cane NN
on IN
the AT
stone NN
steps NNS
coming VBG
up RP
to IN
the AT
tower NN
interrupted VBD
his PP$
reverie NN
. .
Faint JJ
at IN
first RB
, ,
the AT
tapping NN
grew VBD
until CS
it PPS
sounded VBD
loud JJ
against IN
the AT
wind NN
. .
Eli NP
Corault NP
! .
! .
John NP
thought VBD
. .
What WDT
is BEZ
he PPS
doing VBG
here RB
at IN
this DT
hour NN
? .
? .
He PPS
started VBD
down IN
the AT
steps NNS
to TO
meet VB
the AT
near-blind JJ
preacher NN
, ,
who WPS
had HVD
been BEN
one CD
of IN
the AT
early JJ
Gospelers NPS
in IN
Paris NP
. .
`` ``
John NP
? .
? .
Is BEZ
that DT
you PPSS
? .
? .
I PPSS
came VBD
to TO
warn VB
you PPO
of IN
a AT
plot NN
'' ''
! .
! .
John NP
